Date,Weekly Henry Hub Natural Gas Spot Price (Dollars per Million Btu),LNG 160K CBM Spot Rate
22-Oct-21,4.95,"165,000"
29-Oct-21,5.68,"165,500"
5-Nov-21,5.48,"170,000"
12-Nov-21,4.99,"196,250"
19-Nov-21,4.91,"205,000"
26-Nov-21,4.9,"210,000"
3-Dec-21,4.32,"210,500"
10-Dec-21,3.68,"185,000"
17-Dec-21,3.78,"120,000"
24-Dec-21,3.85,"91,250"
31-Dec-21,3.57,"80,750"
7-Jan-22,3.8,"57,750"
14-Jan-22,4.42,"32,750"
21-Jan-22,4.5,"29,125"
28-Jan-22,4.6,"24,250"
4-Feb-22,5.78,"32,500"
11-Feb-22,4.19,"32,000"
18-Feb-22,4.39,"25,000"
25-Feb-22,4.62,"26,500"
4-Mar-22,4.57,"32,000"
11-Mar-22,4.7,"38,000"
18-Mar-22,4.68,"42,500"
25-Mar-22,5.14,"45,250"
1-Apr-22,5.41,"39,500"
8-Apr-22,6.08,"46,000"
15-Apr-22,6.64,"44,500"
22-Apr-22,7.1,"45,500"
29-Apr-22,6.81,"45,750"
6-May-22,8.04,"48,500"
13-May-22,7.47,"59,000"
20-May-22,8.21,"74,750"
27-May-22,8.79,"76,750"
3-Jun-22,8.54,"88,500"
10-Jun-22,8.95,"97,500"
17-Jun-22,7.93,"76,750"
24-Jun-22,6.43,"61,000"
1-Jul-22,6.35,"58,750"
8-Jul-22,5.9,"51,250"
15-Jul-22,6.76,"49,500"
22-Jul-22,7.76,"42,500"
29-Jul-22,8.74,"41,750"
5-Aug-22,8.14,"54,750"
12-Aug-22,8.15,"58,750"
19-Aug-22,9.19,"81,500"
26-Aug-22,9.56,"78,500"
2-Sep-22,9.17,"91,500"
9-Sep-22,8.3,"98,750"
16-Sep-22,8.42,"137,500"
23-Sep-22,7.69,"207,500"
30-Sep-22,6.63,"270,000"
7-Oct-22,6.01,"326,250"
14-Oct-22,6.29,"396,250"
21-Oct-22,5.48,"442,500"
28-Oct-22,5.12,"447,500"
4-Nov-22,4.57,"447,000"
11-Nov-22,4.34,"447,500"
18-Nov-22,6.06,"445,250"
25-Nov-22,6.41,"365,000"
2-Dec-22,6.06,"275,000"
9-Dec-22,4.6,"201,250"
16-Dec-22,6.78,"169,250"
23-Dec-22,6.35,"168,000"
30-Dec-22,4.06,"163,000"
6-Jan-23,3.65,"120,000"
13-Jan-23,3.46,"93,750"
20-Jan-23,3.17,"67,500"
27-Jan-23,3.08,"62,500"
3-Feb-23,2.64,"63,500"
10-Feb-23,2.34,"62,500"
17-Feb-23,2.41,"65,000"
24-Feb-23,2.18,"67,500"
3-Mar-23,2.6,"70,000"
10-Mar-23,2.48,"71,250"
17-Mar-23,2.47,"66,250"
24-Mar-23,2.06,"63,000"
31-Mar-23,2.01,"58,500"
7-Apr-23,2.14,"52,500"
14-Apr-23,2.09,"52,000"
21-Apr-23,2.21,"51,250"
28-Apr-23,2.2,"51,550"
5-May-23,2.03,"47,750"
12-May-23,2.1,"44,000"
19-May-23,2.29,"40,000"
26-May-23,2.17,"35,500"
2-Jun-23,1.93,"45,000"
9-Jun-23,1.99,"51,250"
16-Jun-23,2.05,"61,250"
23-Jun-23,2.28,"66,250"
30-Jun-23,2.58,"69,250"
7-Jul-23,2.53,"72,500"
14-Jul-23,2.53,"72,000"
21-Jul-23,2.54,"72,500"
28-Jul-23,2.59,"73,750"
4-Aug-23,2.49,"78,750"
11-Aug-23,2.76,"96,250"
18-Aug-23,2.59,"117,500"
25-Aug-23,2.53,"120,000"
1-Sep-23,2.57,"142,500"
8-Sep-23,2.52,"173,750"
15-Sep-23,2.71,"205,000"
22-Sep-23,2.62,"205,500"
29-Sep-23,2.66,"188,750"
6-Oct-23,2.91,"166,250"
13-Oct-23,3.2,"137,500"
20-Oct-23,2.86,"140,000"
27-Oct-23,2.89,"158,750"
3-Nov-23,3.17,"161,250"
10-Nov-23,2.46,"161,550"
17-Nov-23,2.74,"167,500"
24-Nov-23,2.64,"167,000"
1-Dec-23,2.72,"155,000"
8-Dec-23,2.62,"130,000"
15-Dec-23,2.38,"126,250"
22-Dec-23,2.5,"81,250"
29-Dec-23,2.56,"78,750"
